見出し,表記
はなうた,鼻歌・鼻×唄
はなお,鼻緒
はながた,花形
はながみ,鼻紙
はなくそ,鼻×屎・鼻×糞
はなぐもり,花曇り
はなげ,鼻毛
はなごえ,鼻声
はなざかり,花盛り
はなさき,鼻先
はなし,話
はなしあい,話し合い
はなしあう,話し合う
はなしがい,放し飼い
はなしかける,話し掛ける
はなしかた,話し方
はなしごえ,話し声
はなしことば,話し言葉
はなしだす,話し出す
はなしょうぶ,花×菖×蒲
はなしる,鼻汁
はなす,離す・放す
はなす,話す
はなすじ,鼻筋
はなせる,話せる
はなぞの,花園
はなたかだか,鼻高高
はなたば,花束
はなたれ,×洟垂れ
はなぢ,鼻血
はなつ,放つ
はなつまみ,鼻△摘み
はなつみ,花△摘み
はなづら,鼻面
はなでんしゃ,花電車
バナナ,banana
はなばしら,鼻柱
はなはだ,甚だ
はなばたけ,花畑・花×畠
はなはだしい,甚だしい
はなばなしい,花花しい・華華しい
はなび,花火
はなびら,花びら
はなふぶき,花《吹雪》
パナマ,Panama
はなまつり,花祭り
はなみ,花見
はなみ,歯並み
はなみず,鼻水
はなみち,花道
はなむけ,×餞・×贐
はなむこ,花婿・花×聟
はなもち,鼻持ち
はなや,花屋
はなやか,花やか・華やか
はなやぐ,花やぐ・華やぐ
はなよめ,花嫁
はなれ,離れ
はなれじま,離れ島
はなればなれ,離れ離れ
はなれる,離れる・放れる
はなれわざ,離れ業・放れ業
はなわ,花輪・花△環
はなわ,鼻輪
はにかみ,
はにかむ,
ばにく,馬肉
パニック,panic
はにわ,×埴輪
はね,羽
はね,跳ね・×撥ね
ばね,
はねあがる,跳ね上がる
はねあげる,×跳ね上げる
はねおきる,跳ね起きる
はねかえし,跳ね返し
はねかえす,跳ね返す
はねかえり,跳ね返り
はねかえる,跳ね返る
はねつき,羽根突き
はねつける,×撥ね付ける
はねとばす,跳ね飛ばす
はねのける,×撥ね△除ける
はねぶとん,羽布団
はねまわる,跳ね回る
ハネムーン,honeymoon
はねる,跳ねる・×撥ねる
パノラマ,panorama
はは,母
はは,
はば,幅・×巾
ばば,△婆
ばば,馬場
パパ,papa
ははあ,
ばばあ,△婆
ははうえ,母上
ははおや,母親
ははかた,母方
はばかり,×憚り
はばかる,×憚る
はばたき,羽ばたき
はばたく,羽ばたく
ははっ,
はばつ,派閥
はばとび,幅跳び・幅飛び
ははは,
はははは,
はばむ,阻む・×沮む
はびこる,〈×蔓延〉る
はぶく,省く
はぶける,省ける
はぶたえ,羽二重
ハプニング,happening
はブラシ,歯ブラシ
はぶり,羽振り
ばふん,馬×糞
ばふんし,馬×糞紙
はへい,派兵
はべる,△侍る
はへん,破片
はま,浜
はまき,葉巻
はまぐり,×蛤
はまべ,浜辺
はまる,×嵌まる・×填まる
はみがき,歯磨
はみだす,△食み出す
はみでる,△食み出る
ハム,ham
ばむ,
ハムエッグ,←ham and eggs
はむかい,刃向かい・歯向かい
はむかう,刃向かう・歯向かう
はむし,羽虫
はめ,羽目
はめいた,羽目板
はめこみ,×嵌め込み
はめこむ,×嵌め込む・×填め込む
はめつ,破滅
はめる,×嵌める・×填める
ばめん,場面
はもの,刃物
はもん,波紋
はもん,破門
はや,早
ばや,
はやあし,早足・速△歩
はやい,早い・速い
はやうま,早馬
はやおき,早起き
はやがってん,早合点
はやがてん,早合点
はやがね,早鐘
はやく,破約
はやく,端役
はやく,早く
はやくち,早口
はやくも,早くも
はやさ,早さ・速さ
はやし,林
はやし,×囃子
はやしたてる,×囃し立てる
はやじに,早死に
はやじまい,早仕舞い
ハヤシライス,〔和〕hash rice
はやす,×囃す
はやす,生やす
はやせ,早瀬
はやて,〈疾風〉
はやてまわし,早手回し
はやね,早寝
はやのみこみ,早×呑み込み
はやばまい,早場米
はやばや,早早
はやびけ,早引け・早△退け
はやぶさ,×隼
はやまる,早まる・速まる
はやみち,早道
はやみみ,早耳
はやめ,早め
はやめる,早める・速める
はやらす,〈流行らす〉
はやり,〈流行〉
はやりうた,〈流行〉歌
はやりかぜ,〈流行〉風邪
はやる,△逸る
はやる,〈流行る〉
はやわざ,早業
はら,原
はら,腹
ばら,×散
ばら,〈×薔×薇〉
はらい,払い
はらい,×祓い
はらいおとす,払い落とす
はらいきよめる,×祓い清める
はらいこみ,払い込み
はらいこむ,払い込む
はらいさげ,払い下げ
はらいさげる,払い下げる
はらいせ,腹△癒せ
はらいた,腹痛
はらいだし,払い出し
はらいだす,払い出す
はらいっぱい,腹一杯
はらいのける,払い△除ける
はらいもどし,払い戻し
はらいもどす,払い戻す
ばらいろ,〈×薔×薇〉色
はらう,払う
はらう,×祓う
はらおび,腹帯
はらがけ,腹掛け
はらから,〈同胞〉
はらぐあい,腹具合
はらくだし,腹下し
はらくだり,腹下り
はらぐろい,腹黒い
はらげい,腹芸
はらごしらえ,腹×拵え
パラシュート,parachute
はらす,晴らす
はらす,×腫らす
ばらす,
ばらせん,ばら銭
パラソル,parasol
パラダイス,paradise
はらだたしい,腹立たしい
はらだち,腹立ち
はらだつ,腹立つ
パラチフス,〔独〕Paratyphus
バラック,barrack
はらつづみ,腹鼓
はらっぱ,原っぱ
はらばい,腹×這い
はらばう,腹×這う
はらはら,
ばらばら,
ぱらぱら,
はらまき,腹巻き
ばらまく,ばら×蒔く
はらむ,×孕む
はらり,
ばらり,
ぱらり,
はらわた,△腸
はらん,波×瀾
はらん,葉×蘭
バランス,balance
はり,針・×鍼
はり,×梁
はり,〔梵〕×玻×璃
はりあい,張り合い
はりあう,張り合う
はりあげる,張り上げる
はりいた,張り板
はりかえ,張り替え
はりかえる,張り替える
はりがね,針金
はりがみ,張り紙・×貼り紙
バリカン,←〔仏〕Bariquand et Marre
ばりき,馬力
はりきる,張り切る
バリケード,barricade
ハリケーン,hurricane
はりこ,張り子
はりこみ,張り込み
はりこむ,張り込む
はりさける,張り裂ける
はりしごと,針仕事
はりたおす,張り倒す
はりだし,張り出し
はりだす,張り出す
はりつけ,×磔
はりつけ,張り付け
はりつける,張り付ける
はりつめる,張り詰める
はりとばす,張り飛ばす
はりばこ,針箱
ばりばり,
ぱりぱり,
はりばん,張り番
はりふだ,張り札
はりもの,張り物
はる,張る・×貼る
はる,春
はるあき,春秋
はるいちばん,春一番
はるか,×遥か
はるがすみ,春×霞
はるかぜ,春風
はるご,春△蚕
バルコニー,balcony
はるさき,春先
はるさめ,春雨
はるつげどり,春告げ鳥
はるばる,×遥×遥
パルプ,pulp
はれ,晴れ
はれ,×腫れ
はれあがる,晴れ上がる
はれあがる,×腫れ上がる
ばれい,馬齢
ばれいしょ,馬鈴×薯
バレエ,〔仏〕ballet
パレード,parade
バレーボール,volleyball
はれがましい,晴れがましい
はれぎ,晴れ着
はれすがた,晴れ姿
はれつ,破裂
はれて,晴れて
はればれ,晴れ晴れ
はればれしい,晴晴しい
はれま,晴れ間
はれもの,×腫れ物
はれやか,晴れやか
バレリーナ,〔伊〕ballerina
はれる,×腫れる
はれる,晴れる
ばれる,
はれわたる,晴れ渡る
はれんち,破廉恥
はろう,波浪
ハロー,hello
バロメーター,barometer
パワー,power
はわたり,刃渡り
はん,反
はん,半
はん,判
はん,版
はん,班
はん,×榛
はん,範
はん,藩
ばん,判
ばん,晩
ばん,番
ばん,盤
パン,〔葡〕pa～o
はんい,犯意
はんい,×叛意
はんい,範囲
はんえい,反映
はんえい,繁栄
はんえいきゅう,半永久
はんえり,半襟
はんえん,半円
はんおん,半音
はんか,繁華
はんが,版画
ばんか,晩夏
ハンガーストライキ,hunger strike
はんかい,半解
ばんがい,番外
はんかがい,繁華街
はんがく,半額
ばんがく,晩学
ばんがさ,番傘
ばんがた,晩方
ハンカチ,←handkerchief
ハンカチーフ,handkerchief
ばんカラ,蛮カラ
はんかん,反感
はんかん,繁簡
ばんかん,万感
はんき,反旗・×叛旗
はんき,半期
はんき,半旗
はんぎゃく,反逆・×叛逆
はんきゅう,半球
はんきょう,反共
はんきょう,反響
パンク,←puncture
ばんぐみ,番組
ばんくるわせ,番狂わせ
はんけい,半径
パンケーキ,pancake
はんげき,反撃
はんけつ,判決
はんけん,版権
はんげん,半減
ばんけん,番犬
はんこ,判子
はんご,反語
はんこう,反抗
はんこう,犯行
はんごう,飯×盒
ばんごう,番号
ばんこく,万国
ばんこくき,万国旗
ばんごはん,晩御飯
ばんごや,番小屋
はんごろし,半殺し
はんざい,犯罪
ばんざい,万歳・万才
ばんさく,万策
はんざつ,煩雑・繁雑
ハンサム,handsome
はんさよう,反作用
はんし,半紙
はんじ,判事
ばんし,万死
ばんじ,万事
はんしはんしょう,半死半生
はんじもの,判じ物
はんしゃ,反射
ばんじゃく,盤石・×磐石
はんしゃてき,反射的
はんしゅ,藩主
はんしゅう,半周
ばんしゅう,晩秋
はんじゅく,半熟
はんしゅつ,搬出
ばんしゅん,晩春
はんしょう,反証
はんしょう,半焼
はんしょう,半鐘
はんじょう,繁盛・繁×昌
ばんしょう,万象
ばんしょう,万障
ばんしょう,晩鐘
はんしょく,繁殖・×蕃殖
はんじる,判じる
はんしん,半身
ばんじん,蛮人
はんしんはんぎ,半信半疑
はんすう,半数
はんズボン,半ズボン
はんする,反する
はんせい,反省
ばんせい,万世
ばんせい,晩成
ばんせい,蛮声
はんせん,反戦
はんせん,帆船
はんぜん,判然
ばんぜん,万全
はんそう,搬送
ばんそう,伴奏
ばんそうこう,×絆創×膏
はんそく,反則・犯則
はんたい,反対
はんだい,飯台
はんだくおん,半濁音
パンタグラフ,pantograph
はんだづけ,半田付け
パンタロン,〔仏〕pantalon
はんだん,判断
ばんたん,万端
ばんち,番地
パンチ,punch
ばんちゃ,番茶
ハンチング,←hunting cap
パンツ,pants
はんつき,半月
はんつきまい,半×搗米
ばんづけ,番付
はんてい,判定
ハンディキャップ,handicap
はんてん,反転
はんてん,半×纏・×袢×纏
はんてん,×斑点
はんと,半途
はんと,版図
バント,bunt
バンド,band
はんとう,半島
はんどう,反動
ばんとう,晩冬
ばんとう,番頭
はんとうめい,半透明
はんどく,判読
はんとし,半年
ハンドバッグ,handbag
パントマイム,pantomime
ハンドル,handle
ばんなん,万難
はんにち,半日
はんにゃ,〔梵〕般△若
はんにゅう,搬入
はんにん,犯人
ばんにん,万人
ばんにん,番人
はんねん,半年
ばんねん,晩年
はんのう,反応
ばんのう,万能
はんぱ,半端
はんばい,販売
はんぱつ,反発・反×撥
はんはん,半半
ばんぱん,万般
はんぴれい,反比例
はんぷ,頒布
はんぷく,反復・反覆
ばんぶつ,万物
パンフレット,pamphlet
はんぶん,半分
ばんぺい,番兵
はんべつ,判別
はんぼう,繁忙
ハンマー,hammer
はんまい,飯米
ばんみん,万民
ばんめ,番目
はんめい,判明
ばんめし,晩飯
はんめん,反面
はんめん,半面
はんも,繁茂
はんもく,反目
ハンモック,hammock
はんもと,版元・板元
はんもん,反問
はんもん,煩×悶
ばんゆう,蛮勇
はんら,半裸
ばんらい,万雷
はんらん,反乱・×叛乱
はんらん,×氾濫
はんりょ,伴×侶
はんれい,判例
はんろ,販路
はんろん,反論
ひ,日
ひ,比
ひ,火
ひ,妃
ひ,否
ひ,非
ひ,秘
ひ,費
ひ,碑
び,美
び,微
ひあい,悲哀
ひあがる,干上がる・△乾上がる
ひあそび,火遊び
ひあたり,日当たり
ピアニスト,pianist
ピアノ,〔伊〕piano
ぴー,
ピーアール,PR
ビーカー,beaker
ひいき,×贔×屓
ピーク,peak
ビーシージー,BCG
ヒーター,heater
ぴいちく,
ピーティーエー,PTA
ひいては,△延いては
ひいでる,秀でる
ビーナス,Venus
ピーナッツ,peanut
ひいひい,
ぴいぴい,
ひいまご,〈×曾孫〉
ひいらぎ,×柊
ビール,〔蘭〕bier
ヒーロー,hero
ひうちいし,火打ち石・×燧石
ひうん,悲運
ひえ,×稗
ひえ,冷え
ひえきる,冷え切る
ひえこむ,冷え込む
ひえしょう,冷え性
ひえる,冷える
ピエロ,〔仏〕pierrot
ひおい,日△覆い
ひおおい,日覆い
ビオラ,〔伊〕viola
びおん,微音
びおん,鼻音
びおんてき,微温的
ひか,皮下
ひが,彼我
びか,美化
ひがい,被害
ひがいしゃ,被害者
ひかえ,控え
ひかえしつ,控え室
ひがえり,日帰り
ひかえる,控える
ひかく,比較
ひかく,皮革
ひかくてき,比較的
ひかげ,日陰・日×蔭
ひかげ,日影
ひがけ,日掛け
ひかげん,火加減
ひがさ,日傘
ひがし,東
ひがし,干菓子・△乾菓子
ひがしかぜ,東風
ひかす,引かす
ひかず,日数
ひがた,干潟
ぴかぴか,
ひがみ,×僻み
ひがむ,×僻む
ひがめ,×僻目
ひからす,光らす
ひからびる,干からびる・△乾×涸びる
ひかり,光
ぴかり,
ひかる,光る
ひかん,悲観
ひがん,彼岸
ひがん,悲願
びかん,美観
ひがんざくら,彼岸桜
ひかんてき,悲観的
ひがんばな,彼岸花
ひき,引き
ひき,悲喜
ひき,匹・×疋
ひきあい,引き合い
ひきあう,引き合う
ひきあげ,引き上げ・引き揚げ
ひきあげる,引き上げる・引き揚げる
ひきあわす,引き合わす
ひきあわせ,引き合わせ
ひきあわせる,引き合わせる
ひきいる,率いる
ひきいれる,引き入れる
ひきうけ,引き受け・引き請け
ひきうける,引き受ける
ひきおこす,引き起こす
ひきおろす,引き下ろす
ひきかえ,引き替え・引き換え
ひきかえす,引き返す
ひきかえる,引き替える・引き換える
ひきがえる,×蟇・〈×蟾×蜍〉
ひきがね,引き金・引き△鉄
ひきげき,悲喜劇
ひきこす,引き越す
ひきこみ,引き込み
ひきこむ,引き込む
ひきこめる,引き込める
ひきころす,×轢き殺す
ひきさがる,引き下がる
ひきさく,引き裂く
ひきさげ,引き下げ
ひきさげる,引き下げる
ひきざん,引き算
ひきしお,引き潮
ひきしぼる,引き絞る
ひきしまる,引き締まる
ひきしめる,引き締める
ひぎしゃ,被疑者
ひきずり,引き×摺り
ひきずりこむ,引き×摺り込む
ひきずる,引き×摺る
ひきぞめ,弾き初め
ひきたおす,引き倒す
ひきだし,引き出し
ひきだす,引き出す
ひきたつ,引き立つ
ひきたてる,引き立てる
ひきつぎ,引き継ぎ
ひきつぐ,引き継ぐ
ひきつけ,引き付け
ひきつける,引き付ける
ひきつづき,引き続き
ひきつづく,引き続く
ひきつる,引き×攣る
ひきつれる,引き連れる
ひきて,引き手
ひきて,弾き手
ひきでもの,引き出物
ひきとめる,引き留める・引き止める
ひきとり,引き取り
ひきとる,引き取る
ひきにく,×挽き肉
ひきぬき,引き抜き
ひきぬく,引き抜く
ひきのばし,引き伸ばし・引き延ばし
ひきのばす,引き伸ばす・引き延ばす
ひきはなす,引き離す
ひきはらう,引き払う
ひきまわし,引き回し
ひきまわす,引き回す
ひきもどす,引き戻す
ひきゃく,飛脚
ひきやぶる,引き破る
びきょ,美挙
ひきょう,卑×怯
ひきょう,悲境
ひきよせる,引き寄せる
ひきわけ,引き分け
ひきわける,引き分ける
ひきわたし,引き渡し
ひきわたす,引き渡す
ひきん,卑近
ひきんぞく,非金属
ひく,引く
ひく,弾く
ひくい,低い
ピクチャー,picture
ひくつ,卑屈
びくつく,
びくとも,
ピクニック,picnic
びくびく,
ぴくぴく,
ひぐらし,×蜩・〈×茅×蜩〉
びくり,
ひぐれ,日暮れ
ひぐれがた,日暮れ方
ひけ,引け・△退け
ひげ,×髭・×鬚・×髯
ひげ,卑下
ピケ,←picket
ひげき,悲劇
ひけし,火消し
ひけしつぼ,火消し×壷
ひけつ,否決
ひけつ,秘×訣
ひげづら,×髭面
ひけめ,引け目
ひけん,比肩
ひご,
ひごい,×緋×鯉
ひこう,非行
ひこう,飛行
びこう,尾行
びこう,備考
ひこうかい,非公開
ひこうき,飛行機
ひこうしき,非公式
ひこうじょう,飛行場
ひこうせん,飛行船
ひこうにん,非公認
ひごうほう,非合法
ひごうり,非合理
ひこく,被告
ひこくみん,非国民
ひごと,日△毎
ひこぼし,×彦星
ひごろ,日×頃
ひざ,×膝
ビザ,visa
ひさい,非才・×菲才
ひさい,被災
びさい,微細
びざい,微罪
ひざがしら,×膝頭
ひざかり,日盛り
ひさく,秘策
ひさご,×瓠・×瓢
ひさし,×庇・×廂
ひざし,日差し・△陽△射し
ひさしい,久しい
ひさしぶり,久し振り
ひさびさ,久久
ひざまずく,×跪く
ひざもと,×膝元・×膝下
ひさん,悲惨・悲酸
ひし,×菱
ひじ,×肘・×肱・×臂
ひしがた,×菱形
ひしぐ,×拉ぐ
ひしげる,×拉げる
ひじでっぽう,×肘鉄砲
ひしと,
ビジネス,business
ひしひし,
びしびし,
ぴしぴし,
ひしめき,×犇めき
ひしめく,×犇めく
ひしもち,×菱×餅
ひしゃく,△柄×杓・×杓
ひしゃげる,
ぴしゃり,
ひじゅう,比重
びしゅう,美醜
ひじゅつ,秘術
びじゅつ,美術
びじゅつかん,美術館
ひじゅん,批准
ひしょ,秘書
ひしょ,避暑
びじょ,美女
ひしょう,費消
ひじょう,非常
びしょう,微小
びしょう,微笑
ひじょうぐち,非常口
ひじょうしき,非常識
びしょうねん,美少年
びしょく,美食
びしょぬれ,びしょ×濡れ
びしょびしょ,
ビジョン,vision
ひじり,△聖
びしん,微震
びじん,美人
ビスケット,biscuit
ヒステリー,〔独〕Hysterie
ピストル,pistol
ピストン,piston
ひずみ,×歪み
ひずむ,×歪む
ひする,比する
ひする,秘する
ひせい,批正
びせい,美声
びせいぶつ,微生物
びそ,鼻祖
ひそう,皮相
ひそう,悲壮
ひぞう,秘蔵
ひそか,△密か・△窃か
ひぞく,卑俗
ひそひそ,
ひそまる,潜まる
ひそむ,潜む
ひそめる,潜める
ひそめる,×顰める
ひそやか,△密やか
ひだ,×襞
ひたい,額
ひだい,肥大
ひたし,浸し
ひたす,浸す
ひたすら,
ひだち,肥立ち
ひだね,火種
ひたはしり,△直走り
ひたひた,
ビタミン,〔独〕Vitamin
ひたむき,△直向き
ひだり,左
ぴたり,
ひだりがわ,左側
ひだりきき,左利き
ひだりぎっちょ,左ぎっちょ
ひだりて,左手
ひだりまえ,左前
ひたる,浸る
ひだるい,
ひたん,悲嘆・悲×歎
びだん,美談
びだんし,美男子
ぴちぴち,
びちゃびちゃ,
ぴちゃぴちゃ,
ひつ,×櫃
ひつう,悲痛
ひっかかり,引っ掛かり
ひっかかる,引っ掛かる
ひっかく,引っ×掻く
ひっかける,引っ掛ける
ひっかぶる,引っ△被る
ひっき,筆記
ひつぎ,×柩
ひっきりなし,引っ切り無し
ひっくくる,引っ△括る
びっくり,
ひっくりかえす,引っ繰り返す
ひっくりかえる,引っ繰り返る
ひづけ,日付
ひっけい,必携
びっこ,×跛
ひっこう,筆耕
ひっこし,引っ越し
ひっこす,引っ越す
ひっこぬく,引っこ抜く
ひっこます,引っ込ます
ひっこみ,引っ込み
ひっこみじあん,引っ込み思案
ひっこむ,引っ込む
ひっこめる,引っ込める
ひっさげる,引っ提げる・△提げる
ひっさん,筆算
ひっし,必死
ひっし,必至
ひっし,筆紙
ひつじ,羊
ひつじかい,羊飼い
ひっしゃ,筆写
ひっしゃ,筆者
ぴっしゃり,
ひつじゅ,必需
ひつじゅん,筆順
ひっしょう,必勝
びっしょり,
ひっせい,筆勢
ひっせき,筆跡・筆×蹟
ひつぜつ,筆舌
ひつぜん,必然
ひっそり,
ひったくり,
ひったくる,
ひったてる,引っ立てる
ぴったり,
ひつだん,筆談
ひっち,筆致
ピッチ,pitch
ピッチャー,pitcher
ひっつかむ,引っ×掴む
ひっつく,引っ付く
ひっつける,引っ付ける
ひってき,匹敵
ヒット,hit
ひっとう,筆答
ひっとう,筆頭
ひつどく,必読
ひつどくしょ,必読書
ひっとらえる,引っ捕らえる
ひっぱたく,引っぱたく
ひっぱりだこ,引っ張り×凧
ひっぱる,引っ張る
ひっぽう,筆法
ひつぼく,筆墨
ひづめ,×蹄
ひつよう,必要
ひつりょく,筆力
ひてい,否定
びてき,美的
ひでり,日照り・×旱
ひでん,秘伝
びてん,美点
ひと,人
ひと,一
ひとあし,人足
ひとあせ,一汗
ひとあめ,一雨
ひとあわふかす,一泡吹かす
ひとあんしん,一安心
ひどい,△酷い
ひといき,一息
ひといちばい,人一倍
ひどう,非道
ひとえ,一重
ひとえに,△偏に
ひとえもの,△単物
ひとおもいに,一思いに
ひとかげ,人影
ひとかず,人数
ひとかたまり,一塊
ひとかど,一角・一△廉
ひとがら,人柄
ひとぎき,人聞き
ひときわ,一際
びとく,美徳
ひとくい,人食い
ひとくせ,一癖
ひとくち,一口
ひとけ,人気
ひどけい,日《時計》
ひとごえ,人声
ひとごこち,人心地
ひとこと,一言
ひとごと,人事
ひとごみ,人込み
ひところ,一×頃
ひとごろし,人殺し
ひとさしゆび,人差し指・人指し指
ひとざと,人里
ひとさわがせ,人騒がせ
ひとしい,等しい・△均しい
ひとしお,一△入
ひとしきり,一△頻り
ひとしごと,一仕事
ひとじち,人質
ひとずき,人好き
ひとすじ,一筋
ひとすじなわ,一筋縄
ひとそろい,一揃い
ひとだかり,人だかり
ひとだのみ,人頼み
ひとだま,人△魂
ひとちがい,人違い
ひとつ,一つ
ひとつおぼえ,一つ覚え
ひとづて,人△伝
ひとつひとつ,一つ一つ
ひとづま,人妻
ひとで,人手
ひとで,人出
ひとで,〈海星〉
ひとでなし,人でなし
ひととおり,一通り
ひとどおり,人通り
ひととき,一時
ひとところ,一所・一△処
ひととせ,一△年
ひととなり,人となり
ひとなか,人中
ひとなつっこい,人懐っこい
ひとなみ,人並
ひとねむり,一眠り
ひとばしら,人柱
ひとはだ,一肌
ひとはな,一花
ひとばらい,人払い
ひとひ,一日
ひとびと,人人
ひとふで,一筆
ひとまえ,人前
ひとまかせ,人任せ
ひとまず,一△先ず
ひとまね,人〈真似〉
ひとみ,×瞳
ひとみしり,人見知り
ひとむかし,一昔
ひとむれ,一群れ
ひとめ,一目
ひとめ,人目
ひともうけ,一×儲け
ひとやすみ,一休み
ひとよし,人△好し
ひとよせ,人寄せ
ひとり,《一人》・独り
ひどり,日取り
ひとりあるき,独り歩き
ひとりがてん,独り合点
ひとりぎめ,独り決め
ひとりぐらし,《一人》暮らし・独り暮らし
ひとりごと,独り言
ひとりじめ,《一人》占め・独り占め
ひとりだち,独り立ち
ひとりたび,《一人》旅・独り旅
ひとりでに,独りでに
ひとりびとり,一人一人
ひとりぶたい,独り舞台
ひとりぼっち,独りぼっち・《一人》ぼっち
ひとりむし,火取り虫
ひとりもの,独り者
ひとりよがり,独り善がり
ひとわたり,一わたり
ひな,×鄙
ひな,×雛
ひなか,日中
ひなが,日長・日永
ひながた,×雛形
ひなぎく,×雛菊
ひなげし,×雛〈×罌×粟〉
ひなた,〈日向〉
ひなたぼっこ,〈日向〉ぼっこ
ひなにんぎょう,×雛人形
ひなまつり,×雛祭り
ひなん,非難・批難
ひなん,避難
びなん,美男
ひなんみん,避難民
ビニール,〔独〕Vinyl
ひにく,皮肉
ひにくる,皮肉る
ひにち,日日
ひにひに,日に日に
ひにん,否認
ひにんじょう,非人情
ひねくる,
ひねくれる,
びねつ,微熱
ひねもす,
ひねり,×捻り
ひねりまわす,×捻り回す
ひねる,×捻る
ひのいり,日の入り
ひのき,×桧
ひのきぶたい,×桧舞台
ひのくるま,火の車
ひのくれ,日の暮れ
ひのけ,火の気
ひのこ,火の粉
ひのし,火〈×熨斗〉
ひのて,火の手
ひので,日の出
ひのべ,日延べ
ひのまる,日の丸
ひのみ,火の見
ひのみやぐら,火の見×櫓
ひのもと,火の元
ひばいひん,非売品
ひばし,火×箸
ひばち,火鉢
ひばな,火花
ひばり,〈雲×雀〉
ひはん,批判
ひばん,非番
ひひ,×狒×狒
ひび,×皹・×皸
ひび,×罅
ひび,日日
びび,微微
ひひーん,
ひびかす,響かす
ひびき,響き
ひびく,響く
ひひょう,批評
ひびょういん,避病院
びひん,備品
ひふ,皮膚
ひぶ,日歩
びふう,美風
びふう,微風
ひふか,皮膚科
ひふきだけ,火吹き竹
ひふく,被服
ひぶた,火×蓋
ビフテキ,←〔仏〕bifteck
ひふびょう,皮膚病
ひふん,悲憤
ひへい,疲弊
ひほう,秘法
ひほう,悲報
びぼう,備忘
びぼうろく,備忘録
ひぼし,干△乾し
ひぼん,非凡
ひま,暇・×隙
ひまご,〈×曾孫〉
ひまし,日増し
ひましゆ,×蓖麻子油
ひまどる,×隙取る・暇取る
ひまわり,〈向日×葵〉
ひまん,肥満
びみ,美味
ひみつ,秘密
びみょう,微妙
ひむろ,氷室
ひめ,姫・×媛
ひめい,悲鳴
びめい,美名
ひめる,秘める
ひも,×紐
ひもじい,
ひもと,火元
ひもとく,×紐解く・×繙く
ひもの,干物・△乾物
ひやあせ,冷や汗
ひやかし,冷やかし・〈素見〉
ひやかす,冷やかす・〈素見す〉
ひやく,飛躍
ひゃく,百
びゃくい,白衣
びゃくえ,白△衣
ひゃくしょう,百姓
ひゃくにちぜき,百日×咳
ひゃくパーセント,百パーセント
ひゃくぶんひ,百分比
ひゃくぶんりつ,百分率
ひゃくまん,百万
ひやけ,日焼け・日△焦け
ヒヤシンス,hyacinth
ひやす,冷やす
ひゃっかじてん,百科辞典・百科事典
ひゃっかてん,百貨店
ひやとい,日雇い・日×傭い
ひやひや,冷や冷や
ビヤホール,〔米〕beer hall
ひやみず,冷や水
ひやむぎ,冷や麦
ひやめし,冷や飯
ひややか,冷ややか
ひゆ,比×喩・×譬×喩
ヒューズ,fuse
びゅうびゅう,
ぴゅうぴゅう,
ヒュッテ,〔独〕Hu¨tte
ひょいと,
ひょいひょい,
ひよう,費用
ひょう,×豹
ひょう,×雹
ひょう,表
ひょう,俵
ひょう,票
ひょう,評
びよう,美容
びょう,×鋲
びょう,病
びょう,秒
ひょういもんじ,表意文字
びょういん,病院
ひょうおんもんじ,表音文字
ひょうか,評価
ひょうが,氷河
ひょうかい,氷解
ひょうき,表記
ひょうき,標記
ひょうぎ,評議
びょうき,病気
ひょうぎいん,評議員
ひょうきん,×剽△軽
びょうきん,病菌
びょうく,病苦
ひょうぐや,表具屋
ひょうけい,表敬
ひょうけつ,氷結
ひょうけつ,表決
ひょうげん,氷原
ひょうげん,表現
びょうげん,病原
ひょうご,評語
ひょうご,標語
びょうご,病後
ひょうさつ,表札・標札
ひょうざん,氷山
ひょうし,拍子
ひょうし,表紙
ひょうじ,表示
びょうし,病死
ひょうしき,標識
ひょうしぎ,拍子木
びょうしつ,病室
ひょうしぬけ,拍子抜け
びょうしゃ,病舎
びょうしゃ,描写
ひょうしゃく,評釈
びょうじゃく,病弱
ひょうしゅつ,表出
ひょうじゅん,標準
ひょうじゅんご,標準語
ひょうしょう,表象
ひょうしょう,表彰
ひょうじょう,表情
ひょうじょう,評定
びょうしょう,病床・病×牀
びょうじょう,病状
びょうしん,病身
びょうせい,病勢
ひょうだい,表題・標題
びょうたい,病体
ひょうたん,×瓢×箪
びょうちゅう,病中
びょうてき,病的
ひょうてん,氷点
ひょうてん,評点
びょうどう,平等
びょうにん,病人
ひょうのう,氷×嚢
ひょうはく,漂白
ひょうばん,評判
ひょうひ,表皮
びょうぶ,×屏風
びょうぼつ,病没・病×歿
ひょうほん,標本
ひょうめい,表明
びょうめい,病名
ひょうめん,表面
ひょうり,表裏
びょうり,病理
ひょうりゅう,漂流
ひょうろん,評論
ひよけ,日△除け
ひよこ,×雛
ひょこひょこ,
ぴょこぴょこ,
ぴょこり,
ぴょこんと,
ひょっくり,
ひょっこり,
ひょっと,
ひょっとこ,
ぴよぴよ,
ひより,《日和》
ひよりみ,《日和》見
ひょろひょろ,
ひよわ,ひ弱
ひよわい,ひ弱い
ぴょん,
ぴょんぴょん,
ひら,平
びら,
ひらあやまり,平謝り
ひらいしん,避雷針
ひらおよぎ,平泳ぎ
ひらがな,平《仮名》
ひらき,開き
ひらきど,開き戸
ひらきなおる,開き直る
ひらきふう,開き封
ひらく,開く・△拓く
