見出し,表記
いいそこない,言い損ない
いいそこなう,言い損なう
いいそびれる,言いそびれる
いいだす,言い出す
いいたてる,言い立てる
いいちがい,言い違い
いいちがえ,言い違え
いいちがえる,言い違える
いいつかる,言い付かる
いいつけ,言い付け
いいつける,言い付ける
いいつたえ,言い伝え
いいつたえる,言い伝える
いいとおす,言い通す
いいなおし,言い直し
いいなおす,言い直す
いいなずけ,〈許嫁〉
いいならわし,言い習わし
いいならわす,言い習わす
いいなり,言いなり
いいなれる,言い慣れる・言い×馴れる
いいにくい,言い△難い
いいぬけ,言い抜け
いいぬける,言い抜ける
いいのがれ,言い逃れ
いいのがれる,言い逃れる
いいのこす,言い残す
いいはる,言い張る
いいひらき,言い開き
いいふくめる,言い含める
いいぶん,言い分
いいまくる,言い×捲る
いいまわし,言い回し
いいもらし,言い漏らし
いいもらす,言い漏らす
いいよう,言い様
いいわけ,言い訳・言い分け
いいわたし,言い渡し
いいわたす,言い渡す
いいん,医院
いいん,委員
いいんかい,委員会
いう,言う・×云う・×謂う
いうまでもなく,言うまでもなく
いえ,家
いえがら,家柄
いえき,胃液
いえじ,家路
イエス,yes
いえで,家出
いえども,×雖も
いえなみ,家並み
いえぬし,家主
いえもと,家元
いえる,△癒える
いおう,《硫黄》
いおり,×庵・×廬
イオン,〔独〕Ion
いか,〈×烏賊〉
いか,以下
いか,医科
いが,×毬
いがい,意外
いがい,以外
いかが,〈如何〉
いかがわしい,〈如何〉わしい
いかく,威嚇
いがく,医学
いかけ,鋳掛け
いかす,生かす・△活かす
いかずち,△雷
いかぞく,遺家族
いかだ,×筏
いがた,鋳型
いかなる,〈如何〉なる
いかに,〈如何〉に
いかにも,〈如何〉にも
いかほど,〈如何〉程
いがみあい,×啀み合い
いがみあう,×啀み合う
いかめしい,△厳しい
いかよう,〈如何〉様
いかり,怒り
いかり,×錨・×碇
いかる,怒る
いかん,〈如何〉・〈×奈何〉
いかん,衣冠
いかん,遺憾
いかん,移管
いかん,（いかぬ）
いがん,胃×癌
いき,息
いき,△粋
いき,行き
いき,意気
いぎ,威儀
いぎ,異議
いぎ,意義
